D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
1.0,2.51,4.81,,1.2,240000000.0,0.1652822661805555,30.649148975296782,61.86842647968654,1.1098414179104477
1.0,2.51,4.81,,1.2,230000000.0,0.258978013705104,30.3459437588509,62.20194899440182,2.095477205404234
1.0,2.51,4.81,,1.2,220000000.0,0.4151815187809917,30.019813076630577,62.521708926710666,0.4273668858174857
1.0,2.51,4.81,,1.2,210000000.0,0.6585494670294784,29.670068834559697,62.82283959234957,0.6604697560533236
1.0,16.26,16.94,,0.9,580000000.0,5.157264385660226e-07,15.976142294174034,32.1279405990076,5.696679592825982
1.0,4.01,4.81,,1.2,270000000.0,0.0342735964060356,29.05287623474724,56.56819610307983,3.089887640449438
1.0,8.23,7.79,,0.9,370000000.0,2.127137659605552e-06,23.379416761483192,44.98650404878537,5.440578974098528
1.0,2.51,4.81,,1.2,200000000.0,1.023857732725,29.295730635522048,63.10032952394307,0.71812959251837
1.0,8.98,8.65,,0.9,390000000.0,2.162303687113741e-07,22.40980055277508,43.36722401580494,5.450312830096693
1.0,15.49,16.06,,0.9,560000000.0,6.027163227040816e-07,16.47808414808305,33.034796652473936,5.677357080582886
1.0,15.09,15.62,,0.9,550000000.0,1.3691287575537189e-07,16.745930738830463,33.523298692591354,5.648825640702727
1.0,14.71,15.2,,0.9,540000000.0,4.800744310150891e-07,17.011238758406385,34.0097494615123,5.643313730503708
1.0,14.31,14.74,,0.9,530000000.0,9.530119206123174e-07,17.300040366760857,34.51846738004832,5.616205380237972
1.0,13.95,14.31,,0.9,520000000.0,6.022611211390533e-07,17.576957780147414,35.0099194771852,5.6362437351622265
1.0,8.59,8.21,,0.9,380000000.0,3.4328885436288087e-06,22.908107943004627,44.199980355564286,5.380367092756473
1.0,13.17,13.44,,0.9,500000000.0,1.62270434e-07,18.187550015762543,36.102531188575554,5.592943725875262
1.0,12.8,13.0,,0.9,490000000.0,2.662022232778009e-07,18.503441640145063,36.65241295051924,5.596250603073954
1.0,13.56,13.88,,0.9,510000000.0,3.144313536678201e-07,17.876509075307773,35.55204424254395,5.6124916499666
1.0,12.02,12.13,,0.9,470000000.0,4.2065315572657306e-07,19.17619084145125,37.84374737196199,5.554389448305205
1.0,11.65,11.69,,0.9,460000000.0,5.8508473176276e-07,19.527436047646944,38.44346674640126,5.563186813186814
1.0,11.26,11.24,,0.9,450000000.0,1.4960689490567905e-06,19.904458598726112,39.08794788273615,5.529205094422485
1.0,10.88,10.81,,0.9,440000000.0,4.276439013429752e-07,20.28397565922921,39.75089439512389,5.511266453484048
1.0,10.49,10.39,,0.9,430000000.0,7.052388211141158e-07,20.67881662025421,40.44035048303752,5.483776033806217
1.0,10.11,9.94,,0.9,420000000.0,1.9551194926303853e-06,21.09348633142086,41.13533525298231,5.469505178365938
1.0,9.73,9.51,,0.9,410000000.0,1.6558881832242711e-06,21.51925973746503,41.86435947530003,5.448845913911416
1.0,9.36,9.09,,0.9,400000000.0,7.894257639306248e-08,21.95004170507924,42.60153365521159,5.45628437076592
1.0,12.42,12.56,,0.9,480000000.0,1.4455477838722222e-06,18.829318504198937,37.222383059679885,5.598077732566297
1.2,9.97,9.94,,0.9,420000000.0,8.344569977324264e-07,21.269958310881712,40.72029680571894,5.363070381899629
1.2,10.35,10.36,,0.9,430000000.0,9.54805824770146e-07,20.85737725433486,40.02490438495064,5.3872197309417045
1.2,10.72,10.8,,0.9,440000000.0,1.793286729855372e-06,20.459660369637863,39.371801041165405,5.391546815380099
1.2,11.11,11.23,,0.9,450000000.0,1.4176316849382717e-06,20.07226013649137,38.72300146286894,5.415154363386596
1.2,11.5,11.67,,0.9,460000000.0,1.609706518194707e-07,19.69305097874464,38.08878919971222,5.44856143356893
1.2,11.88,12.12,,0.9,470000000.0,6.408741806247171e-07,19.32566319234188,37.481259370314845,5.472609491620899
1.2,15.33,16.05,,0.9,560000000.0,5.049857605229592e-07,16.593654586486128,32.77375186628309,5.591032608695651
1.2,12.64,12.99,,0.9,490000000.0,2.875875196834652e-07,18.64651185918154,36.33134183755853,5.495497339336881
1.2,13.03,13.43,,0.9,500000000.0,1.5515310312e-06,18.31814962264612,35.77248698278946,5.521349676724138
1.2,13.42,13.86,,0.9,510000000.0,1.093035285751634e-06,18.008932430485523,35.229185422945946,5.538272588461795
1.2,13.79,14.3,,0.9,520000000.0,2.972701394230769e-07,17.70789063606743,34.71954324511997,5.539215046039313
1.2,14.17,14.73,,0.9,530000000.0,4.678333972979708e-07,17.423221669841563,34.21923120793886,5.540344340228704
1.2,14.55,15.16,,0.9,540000000.0,1.1053383401920442e-06,17.142661226728837,33.729340778773,5.548866945182935
1.2,14.93,15.6,,0.9,550000000.0,1.3686016191735536e-06,16.870234158850124,33.25819444957688,5.55286783042394
1.2,9.6,9.49,,0.9,410000000.0,9.621742660380726e-07,21.70641352164853,41.41167809322229,5.360646858557723
1.2,12.26,12.56,,0.9,480000000.0,3.3513798003472226e-07,18.98133502056311,36.8988561354598,5.482610502979077
1.2,9.23,9.06,,0.9,400000000.0,1.14019399625e-06,22.14839424141749,42.128914478303614,5.364836033188463
1.2,5.85,5.2,,0.9,310000000.0,1.6258445671175857e-06,27.15915263443781,49.98333888703765,5.171262970926429
1.2,8.45,8.2,,0.9,380000000.0,2.427000114265928e-06,23.11924908678966,43.70204914052636,5.272859922178989
1.2,15.71,16.5,,0.9,570000000.0,3.484641181563558e-07,16.335420637081405,32.33339320998743,5.592651174108773
1.2,2.51,4.81,,1.2,220000000.0,0.4267038269421487,30.20296391752577,61.06248727864848,0.3420181896925076
1.2,2.51,4.81,,1.2,230000000.0,0.2637568063516068,30.510129362948497,60.79027355623101,17.554601812112544
1.2,2.51,4.81,,1.2,240000000.0,0.1650759671180555,30.796394768719075,60.50013444474321,1.3051783874894654
