D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
2.0,199.9937,171.9108,,3.0,500000000.0,1000000000.0,0.0,0.0,0.0
2.0,13.8972,21.6618,,3.0,550000000.0,1.0245283600000002e-21,15.2,32.7,0.55
2.0,15.7097,25.2668,,3.0,600000000.0,4.651668368000001e-11,13.8,30.6,1.7
2.0,17.5088,29.1132,,3.0,650000000.0,1.02579578e-11,12.6,28.8,1.67
2.0,19.2894,33.2426,,3.0,700000000.0,2.4677202049e-20,11.5,27.3,3.26
2.0,21.0453,37.7112,,3.0,750000000.0,2.2373163490000007e-13,10.5,25.9,0.26
2.0,22.7692,42.5973,,3.0,800000000.0,1.56157961e-13,9.7,24.7,0.32
2.0,24.4509,48.0135,,3.0,850000000.0,3.236385965e-13,8.9,23.6,0.31
2.0,26.077,54.1333,,3.0,900000000.0,1.2078488864e-18,8.1,22.6,0.43
2.0,27.6248,61.2531,,3.0,950000000.0,1.2332621988999997e-18,7.4,21.7,0.45
2.0,29.0549,69.9503,,3.0,1000000000.0,3.34507472e-22,6.8,21.0,1.14
1.0,2.5001,4.8047,,3.0,200000000.0,5.01910394,29.2,63.1,1.57
1.0,130.9012,137.9473,,3.0,250000000.0,2000.6783380000004,0.0,0.0,0.0
1.0,5.4251,6.4506,,3.0,300000000.0,7.97934881e-11,26.1,52.1,1.19
1.0,126.9337,141.9095,,3.0,350000000.0,894.355072,0.0,0.0,0.0
1.0,134.9889,133.8604,,3.0,400000000.0,673.428881,0.0,0.0,0.0
1.0,199.9953,193.8184,,3.0,450000000.0,1000000000.0,0.0,0.0,0.0
1.0,17.2465,199.9977,,3.0,500000000.0,36.44411924,0.0,0.0,0.0
1.0,14.6433,21.7296,,3.0,550000000.0,2.4632399304e-08,14.7,34.0,9.89
1.0,16.4738,25.331,,3.0,600000000.0,2.987627453000001e-11,13.4,31.8,1.64
1.0,18.2887,29.1726,,3.0,650000000.0,3.1729023440000013e-11,12.2,29.8,1.45
1.0,20.0833,33.297,,3.0,700000000.0,6.265193675599998e-10,11.2,28.2,4.81
1.0,21.8519,37.7611,,3.0,750000000.0,2.8848664729999998e-25,10.3,26.7,0.35
1.0,23.587,42.6418,,3.0,800000000.0,1.9535831650000002e-13,9.4,25.4,0.27
1.0,25.2787,48.0527,,3.0,850000000.0,7.492087300000001e-15,8.7,24.2,0.3
1.0,26.914,54.1671,,3.0,900000000.0,8.0357744961e-10,8.0,23.2,3.11
1.0,28.4706,61.2765,,3.0,950000000.0,1.5002521800999998e-10,7.3,22.3,1.09
1.0,29.9089,69.9605,,3.0,1000000000.0,3.2451666541000013e-14,6.6,21.5,2.36
3.0,2.5001,4.8045,,3.0,200000000.0,8.496477200000001,31.7,46.5,0.81
3.0,2.5001,4.8037,,3.0,250000000.0,0.1961799493,32.2,47.7,3.87
3.0,4.3246,6.2317,,3.0,300000000.0,5.012675554e-11,28.8,45.7,2.51
3.0,131.2958,135.5457,,3.0,350000000.0,1001.431061,0.0,0.0,0.0
3.0,127.781,139.0656,,3.0,400000000.0,713.9140009999999,0.0,0.0,0.0
3.0,126.8911,139.9628,,3.0,450000000.0,538.2239539999999,0.0,0.0,0.0
3.0,127.2048,139.6468,,3.0,500000000.0,422.91672100000005,0.0,0.0,0.0
3.0,18.7048,199.995,,3.0,550000000.0,26.33467712,0.0,0.0,0.0
3.0,15.0023,25.1837,,3.0,600000000.0,7.84668233e-13,14.2,29.6,1.81
3.0,16.7828,29.0361,,3.0,650000000.0,1.6362148841e-10,12.9,27.9,0.59
3.0,18.5466,33.1713,,3.0,700000000.0,1.401688378e-11,11.8,26.4,1.82
3.0,20.2878,37.6457,,3.0,750000000.0,2.1428213330000003e-13,10.8,25.1,0.27
3.0,21.9983,42.5385,,3.0,800000000.0,1.348922033e-09,9.9,24.0,3.3
3.0,23.6676,47.9614,,3.0,850000000.0,2.49672308e-20,9.1,22.9,1.01
3.0,25.2821,54.0903,,3.0,900000000.0,3.3016164136e-22,8.3,22.0,2.63
3.0,26.8195,61.2193,,3.0,950000000.0,1.3342183569999999e-09,7.6,21.2,2.49
3.0,28.2394,69.9343,,3.0,1000000000.0,5.43558733e-20,6.9,20.5,1.76
4.0,2.5001,4.8047,,3.0,200000000.0,11.06072937,0.0,0.0,0.0
4.0,2.5001,4.8043,,3.0,250000000.0,0.3825700525,33.0,40.9,1.19
4.0,3.8826,6.0854,,3.0,300000000.0,1.3661845301e-14,30.0,41.7,0.25
4.0,5.5717,8.8529,,3.0,350000000.0,1.7002462093e-10,26.0,39.8,0.97
4.0,122.7565,143.0967,,3.0,400000000.0,735.028106,0.0,0.0,0.0
4.0,129.9723,135.8744,,3.0,450000000.0,555.5161759999999,0.0,0.0,0.0
4.0,127.1439,138.7094,,3.0,500000000.0,429.624317,0.0,0.0,0.0
4.0,122.5544,143.2995,,3.0,550000000.0,341.13002500000005,0.0,0.0,0.0
4.0,14.3467,25.0819,,3.0,600000000.0,2.0102127076000007e-12,14.6,28.5,2.06
4.0,16.1058,28.941,,3.0,650000000.0,3.4806240004e-26,13.3,27.0,3.71
4.0,17.851,33.0834,,3.0,700000000.0,3.11456897e-12,12.1,25.7,0.7
4.0,19.5749,37.5652,,3.0,750000000.0,1.3170584981000001e-18,11.1,24.4,0.38
4.0,21.2701,42.4651,,3.0,800000000.0,8.874484561e-25,10.1,23.3,2.8
4.0,22.9254,47.8974,,3.0,850000000.0,1.3559450670099998e-09,9.3,22.4,6.15
4.0,24.5268,54.0351,,3.0,900000000.0,4.8318834856e-10,8.5,21.5,2.63
4.0,26.0519,61.179,,3.0,950000000.0,6.33696365e-22,7.8,20.7,1.85
4.0,27.4611,69.9105,,3.0,1000000000.0,3.97302517e-08,7.0,20.1,0.6
12.0,2.5001,4.8047,,3.0,200000000.0,49.713734120000005,0.0,0.0,0.0
12.0,2.5001,4.8047,,3.0,250000000.0,7.543378152400001,26.0,19.5,0.31
12.0,2.5001,4.8047,,3.0,300000000.0,0.2761013593999999,25.4,19.9,0.22
12.0,3.1709,7.0898,,3.0,350000000.0,5.226040156999999e-15,25.0,20.2,0.22
12.0,4.5371,10.0492,,3.0,400000000.0,6.353902096000002e-11,24.6,20.5,0.36
12.0,136.292,121.56,,3.0,450000000.0,734.26849201,0.0,0.0,0.0
12.0,139.2482,118.6011,,3.0,500000000.0,523.61854784,0.0,0.0,0.0
12.0,117.6876,140.1624,,3.0,550000000.0,390.93119825,0.0,0.0,0.0
12.0,10.4911,23.6593,,3.0,600000000.0,4.2340546816000006e-12,17.3,21.1,0.13
12.0,12.0398,27.5996,,3.0,650000000.0,7.784137202000002e-11,15.7,21.2,1.93
12.0,13.5925,31.8249,,3.0,700000000.0,1.9888254125000002e-24,14.2,20.6,8.74
12.0,15.1398,36.3935,,3.0,750000000.0,1.5796973223999998e-12,12.9,19.9,3.87
12.0,16.6713,41.3869,,3.0,800000000.0,5.2196945156e-12,11.7,19.2,0.34
12.0,18.1742,46.923,,3.0,850000000.0,8.534022562000002e-15,10.7,18.6,0.55
12.0,19.6321,53.1868,,3.0,900000000.0,7.28014005e-10,9.7,18.0,1.63
12.0,21.0193,60.4961,,3.0,950000000.0,4.1481537610000014e-19,8.8,17.5,0.64
12.0,22.29,69.4913,,3.0,1000000000.0,1.5444380304e-10,8.0,17.1,1.67
10.0,2.5002,4.8047,,3.0,200000000.0,37.19952612000001,0.0,0.0,0.0
10.0,2.5002,4.8047,,3.0,250000000.0,4.8599874976,29.8,22.4,0.36
10.0,2.5001,4.8047,,3.0,300000000.0,0.03467713446721,29.1,22.9,0.03
10.0,3.578,7.6157,,3.0,350000000.0,3.0097328069e-16,28.5,23.2,2.65
10.0,117.8421,142.0097,,3.0,400000000.0,966.02709829,0.0,0.0,0.0
10.0,6.5413,13.6803,,3.0,450000000.0,2.3209507876e-10,23.5,23.7,0.29
10.0,134.1071,125.7418,,3.0,500000000.0,497.85682925,0.0,0.0,0.0
10.0,132.1564,127.6868,,3.0,550000000.0,379.51869524,0.0,0.0,0.0
10.0,11.2654,24.1066,,3.0,600000000.0,2.326797000081001e-10,16.8,23.6,0.07
10.0,12.8703,28.0244,,3.0,650000000.0,8.268609168100003e-14,15.1,22.6,3.09
10.0,14.4748,32.2261,,3.0,700000000.0,1.6129540682100002e-11,13.7,21.7,0.08
