D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [MeV/c],"f(x',y') [mrad^2]",studied variable,Astra key,xAngle xOffset slope[mm],xAngle yOffset slope [mm],yAngle xOffset slope [mm],yAngle yOffset slope [mm]
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q3OffsetY,Q_yoff(3),0.001,-2.436,0.0,-2.439
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q3RotX,Q_xrot(3),0.001,0.0,0.001,0.0
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q3RotY,Q_yrot(3),0.001,0.005,0.0,0.005
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q3RotZ,Q_zrot(3),0.0,-0.036,-0.002,0.001
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q1Gradient,Q_grad(1),0.0,0.0,0.0,0.01
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q2Gradient,Q_grad(2),-0.012,0.0,0.0,0.294
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q3Gradient,Q_grad(3),-0.292,0.0,0.0,0.028
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,sourceOffsetX,x_off,-1.77,0.0,-1.77,0.001
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,sourceOffsetY,y_off,0.001,-10.967,0.0,-10.964
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q1OffsetX,Q_xoff(1),0.659,0.0,0.659,0.001
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q1OffsetY,Q_yoff(1),0.001,-4.231,0.0,-4.234
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q1OffsetZ,Q_pos(1),-0.005,0.0,0.0,0.051
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q1RotY,Q_yrot(1),0.001,-0.004,0.0,-0.004
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q1RotZ,Q_zrot(1),0.0,-0.004,0.0,0.001
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q2OffsetX,Q_xoff(2),-2.438,0.0,-2.439,0.001
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q2OffsetY,Q_yoff(2),0.001,21.108,0.0,21.113
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q2RotX,Q_xrot(2),-0.014,0.0,-0.013,0.001
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q2RotY,Q_yrot(2),0.0,0.032,0.0,0.032
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q2RotZ,Q_zrot(2),0.001,0.063,0.011,0.0
